"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"R17,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"47K";;;
2;"R3,R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1M";;;
3;"K2,K1";"Relay_DPDT_Finder_30.22";2;"FINDER-30.22";;;
4;"TP1,TP8,TP3,TP2,TP4,TP5,TP6,TP7,TP9,TP10";"TestPoint_Pad_2.0x2.0mm";10;"TestPoint";;;
5;"R11,R8,R9,R5,R7,R10,R14,R16";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";8;"10K";;;
6;"Q3,Q1,Q6,Q4";"TO-92_Inline";4;"BS170";;;
7;"REF**,REF**,REF**,REF**";"MountingHole_2.7mm_M2.5_DIN965";4;"MountingHole_2.7mm_M2.5_DIN965";;;
8;"C1,C10";"C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";2;"1nF";;;
9;"C3,C9,C11,C12,C5";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";5;"0.1uF";;;
10;"C4";"C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";1;"100pf";;;
11;"C7";"C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";1;"100pF";;;
12;"D1,D6";"D_DO-35_SOD27_P10.16mm_Horizontal";2;"BZX46C-6V2";;;
13;"D2,D5";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N4001";;;
14;"D3,D4";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N5819";;;
15;"D7,D8";"TO-220-2_Vertical";2;"MUR820";;;
16;"F1,F2";"C_Rect_L7.0mm_W3.5mm_P5.00mm";2;"PTC FRU25030F";;;
17;"J1";"TerminalBlock_bornier-2_P5.08mm";1;"Batt1_In";;;
18;"J2";"PinHeader_2x20_P2.54mm_Vertical";1;"Connecteur Raspberry Pi femelle 40 broches ";;;
19;"J3";"TerminalBlock_bornier-2_P5.08mm";1;"Batt_Out";;;
20;"J4";"TerminalBlock_bornier-2_P5.08mm";1;"Batt2_In";;;
21;"Q2,Q5";"TO-18-3";2;"2N2222";;;
22;"R1,R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"22K";;;
23;"R4,R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"56K";;;
24;"R6,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"68K";;;
25;"R19,R20";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"39K";;;
26;"RV1,RV2";"Potentiometer_Bourns_3296W_Vertical";2;"10K";;;
27;"U1,U2";"DIP-8_W7.62mm_Socket_LongPads";2;"LM311";;;
28;"C2,C8";"CP_Radial_D10.0mm_P5.00mm";2;"1000uF/25V";;;
29;"C6";"CP_Radial_D10.0mm_P5.00mm";1;"1000uF";;;
30;"D9,D10";"LED_D5.0mm";2;"LED";;;
31;"R21,R22";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1K";;;
